---------------------------------------------------------------
Spectrum  |     Observed     |  Rel. |    Aki     | Acc. |Type|
          |    Wavelength    |  Int. |   (s^-1)   |      |    |
          |     Air (nm)     |       |            |      |    |
---------------------------------------------------------------
O II      |        428.7734  |     5 | 1.15e+06   | D    |    |
O II      |        428.8820  |   13* |            |      |    |
O II      |        428.8820  |   13* |            |      |    |
O II      |        429.1254  |    14 |            |      |    |
          |                  |       |            |      |    |
O II      |        429.1857  |     7 |            |      |    |
O II      |        429.2211  |    13 |            |      |    |
O II      |        429.2954  |     2 |            |      |    |
O II      |        429.4781  |    15 |            |      |    |
O II      |        430.2858  |    9* |            |      |    |
          |                  |       |            |      |    |
O II      |        430.2858  |    9* |            |      |    |
O II      |        430.3070  |     8 |            |      |    |
O II      |        430.3609  |    11 |            |      |    |
O II      |        430.3825  |    15 |            |      |    |
O II      |        430.5390  |    10 |            |      |    |
          |                  |       |            |      |    |
O II      |        430.5965  |    4* |            |      |    |
O II      |        430.5965  |    4* |            |      |    |
O II      |        430.6354  |     5 |            |      |    |
O II      |        430.7233  |    12 |            |      |    |
O II      |        430.8999  |   11* |            |      |    |
          |                  |       |            |      |    |
O II      |        430.8999  |   11* |            |      |    |
O II      |        431.2107  |    11 |            |      |    |
O II      |        431.3442  |    12 |            |      |    |
O II      |        431.5393  |    8* |            |      |    |
O II      |        431.5393  |    8* |            |      |    |
          |                  |       |            |      |    |
O II      |        431.5828  |     7 |            |      |    |
O II      |        431.7138  |    19 | 3.68e+07   | B    |    |
O II      |        431.7700  |    11 |            |      |    |
O II      |        431.9629  |    19 | 2.48e+07   | B    |    |
O II      |        432.2445  |     5 |            |      |    |
          |                  |       |            |      |    |
O II      |        432.4790  |     6 |            |      |    |
O II      |        432.5758  |    15 | 1.42e+07   | B    |    |
O II      |        432.7465  |    12 | 6.76e+07   | D    |    |
O II      |        432.7851  |     6 | 7.24e+06   | D    |    |
O II      |        432.8586  |    11 | 1.12e+08   | D    |    |
          |                  |       |            |      |    |
O II      |        433.1176  |    12 |            |      |    |
O II      |        433.1468  |     6 | 4.82e+06   | D    |    |
O II      |        433.1862  |    11 | 6.50e+07   | D    |    |
O II      |        433.2707  |    11 |            |      |    |
O II      |        433.4029  |     6 |            |      |    |
          |                  |       |            |      |    |
O II      |        433.4186  |     9 |            |      |    |
O II      |        433.5362  |     6 |            |      |    |
O II      |        433.6862  |    17 | 1.53e+07   | B    |    |
O II      |        434.0328  |    12 |            |      |    |
O II      |        434.2004  |    15 |            |      |    |
          |                  |       |            |      |    |
O II      |        434.2813  |    6* |            |      |    |
O II      |        434.2813  |    6* |            |      |    |
O II      |        434.3202  |   7w* |            |      |    |
O II      |        434.3202  |   7w* |            |      |    |
O II      |        434.4375  |    12 |            |      |    |
          |                  |       |            |      |    |
O II      |        434.4958  |     6 |            |      |    |
O II      |        434.5560  |    19 | 7.95e+07   | B    |    |
O II      |        434.6159  |     5 |            |      |    |
O II      |        434.7223  |   10* | 1.19e+07   | B+   |    |
O II      |        434.7223  |   10* |            |      |    |
          |                  |       |            |      |    |
O II      |        434.7420  |    19 | 9.32e+07   | B+   |    |
O II      |        434.9426  |    23 | 6.75e+07   | B    |    |
O II      |        435.1262  |    21 | 9.89e+07   | B+   |    |
O II      |        435.3594  |    12 |            |      |    |
O II      |        435.4178  |     4 |            |      |    |
          |                  |       |            |      |    |
O II      |        435.7252  |   10* |            |      |    |
O II      |        435.7252  |   10* |            |      |    |
O II      |        435.7252  |   10* | 2.72e+04   | C    |    |
O II      |        435.8451  |     7 |            |      |    |
O II      |        435.9392  |     7 | 1.44e+06   | C+   |    |
          |                  |       |            |      |    |
O II      |        436.6530  |     9 |            |      |    |
O II      |        436.6892  |    20 | 3.92e+07   | B    |    |
O I       |        436.825   |   100 | 7.58e+05   | B    |    |
O II      |        436.9275  |    13 | 3.57e+07   | B    |    |
O II      |        437.1618  |    11 |            |      |    |
          |                  |       |            |      |    |
O II      |        437.4295  |     9 |            |      |    |
O II      |        437.8027  |     8 |            |      |    |
O II      |        437.8427  |    9* |            |      |    |
O II      |        437.8427  |    9* |            |      |    |
O II      |        439.5942  |    15 | 3.91e+07   | B    |    |
          |                  |       |            |      |    |
O II      |        439.7855  |     4 |            |      |    |
O II      |        440.4950  |     7 |            |      |    |
O II      |        440.5987  |     8 | 4.30e+06   | B    |    |
O II      |        441.4905  |    27 | 8.47e+07   | B    |    |
O II      |        441.6974  |    25 | 7.16e+07   | B    |    |
          |                  |       |            |      |    |
O II      |        443.5506  |     7 |            |      |    |
O II      |        444.3007  |    15 | 5.05e+07   | D    |    |
O II      |        444.3516  |     8 | 1.89e+06   | D    |    |
O II      |        444.6809  |    6* |            |      |    |
O II      |        444.6809  |    6* |            |      |    |
          |                  |       |            |      |    |
O II      |        444.7673  |     5 | 2.52e+06   | D    |    |
O II      |        444.8186  |    16 | 5.10e+07   | D    |    |
O II      |        445.2375  |    18 | 1.37e+07   | B    |    |
O II      |        446.5417  |    17 |            |      |    |
O II      |        446.6241  |    15 | 9.00e+07   | C+   |    |
          |                  |       |            |      |    |
O II      |        446.6415  |     7 |            |      |    |
O II      |        446.7475  |    13 | 9.00e+07   | C+   |    |
O II      |        446.7921  |    15 |            |      |    |
O II      |        446.9373  |    17 |            |      |    |
O II      |        447.7904  |    12 |            |      |    |
          |                  |       |            |      |    |
O II      |        448.7716  |     7 |            |      |    |
O II      |        448.8196  |    3* |            |      |    |
O II      |        448.8196  |    3* |            |      |    |
O II      |        448.9462  |    11 |            |      |    |
O II      |        449.1227  |    13 |            |      |    |
          |                  |       |            |      |    |
O II      |        456.3178  |     4 | 7.18e+05   | C    |    |
O II      |        459.0972  |    22 | 8.85e+07   | B+   |    |
O II      |        459.5960  |     7 | 4.87e+06   | B    |    |
O II      |        459.6175  |    20 | 8.34e+07   | B+   |    |
O II      |        460.2128  |    12 |            |      |    |
          |                  |       |            |      |    |
O II      |        460.3228  |     3 | 3.63e+05   | C    |    |
O II      |        460.9442  |    14 |            |      |    |
O II      |        461.0203  |    12 |            |      |    |
O II      |        461.1070  |     3 |            |      |    |
O II      |        461.3137  |     7 |            |      |    |
          |                  |       |            |      |    |
O II      |        461.3681  |     8 |            |      |    |
O II      |        462.1272  |     6 |            |      |    |
O II      |        463.88550 |    20 | 3.61e+07   | B    |    |
O II      |        464.18104 |    22 | 5.85e+07   | B    |    |
O II      |        464.3386  |     3 |            |      |    |
          |                  |       |            |      |    |
O II      |        464.7803  |    4* |            |      |    |
O II      |        464.7803  |    4* |            |      |    |
O II      |        464.91348 |    24 | 7.84e+07   | B    |    |
O II      |        465.08394 |    20 | 6.70e+07   | B    |    |
O II      |        466.16332 |    21 | 4.04e+07   | B    |    |
          |                  |       |            |      |    |
O II      |        466.9266  |     5 |            |      |    |
O II      |        466.9427  |     5 |            |      |    |
O II      |        467.37322 |    14 | 1.24e+07   | B    |    |
O II      |        467.62350 |    20 | 2.05e+07   | B    |    |
O II      |        467.7068  |     8 |            |      |    |
          |                  |       |            |      |    |
O II      |        468.0583  |     2 |            |      |    |
O II      |        469.0896  |     6 | 1.86e+07   | D    |    |
O II      |        469.1416  |     9 | 7.43e+07   | D    |    |
O II      |        469.3195  |     4 |            |      |    |
O II      |        469.6347  |   12* | 3.15e+06   | B    |    |
          |                  |       |            |      |    |
O II      |        469.6347  |   12* |            |      |    |
O II      |        469.8446  |     6 | 6.59e+06   | D    |    |
O II      |        469.9003  |    15 | 9.88e+07   | D    |    |
O II      |        469.9220  |    17 | 9.36e+07   | B    |    |
O II      |        470.1184  |    11 | 9.23e+07   | C    |    |
          |                  |       |            |      |    |
O II      |        470.1708  |     5 | 3.69e+07   | D    |    |
O II      |        470.3163  |    14 | 9.20e+07   | D    |    |
O II      |        470.5352  |    21 | 1.13e+08   | B    |    |
O II      |        470.7484  |     3 |            |      |    |
O II      |        470.7811  |     4 |            |      |    |
          |                  |       |            |      |    |
O II      |        471.0012  |    16 | 2.98e+07   | C    |    |
O II      |        474.1707  |    10 | 5.07e+06   | C+   |    |
O II      |        475.1271  |    14 | 6.39e+06   | C    |    |
O II      |        475.2681  |     9 | 1.45e+06   | C    |    |
O II      |        477.3782  |     4 |            |      |    |
          |                  |       |            |      |    |
