peak_index,peak_wavelength_nm,peak_intensity_smoothed,nearest_input_index,nearest_input_wavelength_nm,nearest_input_intensity,distance_nm
636,446.5934065934066,62.26394159628164,26,447.12824999999975,140.996,0.5348434065931542
974,471.35531135531136,60.21784779089802,38,471.9059699999998,133.733,0.5506586446884398
1251,491.64835164835165,77.0140852889582,16,492.17864999999983,178.041,0.5302983516481845
1389,501.75824175824175,89.72951244121587,11,502.31498999999985,204.9,0.5567482417581004
2542,586.2271062271062,107.46794589626498,2,586.78449,243.83,0.557383772893786
2573,588.4981684981685,108.85749265783615,0,589.03701,247.148,0.5388415018314845
3664,668.4249084249084,95.33957486033647,9,667.8752099999997,213.133,0.5496984249086836
