index,wavelength_nm,intensity
182,413.3333333333333,37.06765152911272
213,415.6043956043956,37.58500360188977
228,416.7032967032967,38.28943366631966
244,417.87545787545787,38.196632830610284
259,418.97435897435895,39.79981410954967
274,420.0732600732601,38.73124252095562
290,421.24542124542126,41.123929117704016
305,422.34432234432234,42.93134950836017
320,423.4432234432235,44.86429187530476
336,424.61538461538464,47.99105297212898
351,425.7142857142857,52.02669333491485
367,426.8864468864469,52.637074373349236
382,427.98534798534797,58.636762776204606
397,429.0842490842491,59.219207570370315
413,430.2564102564103,60.89894565995898
428,431.35531135531136,63.72470751510305
443,432.45421245421244,64.38508686562449
459,433.6263736263736,68.04019579841807
474,434.72527472527474,71.08115281552992
490,435.8974358974359,71.11976329415526
505,436.996336996337,77.72184775427742
520,438.0952380952381,76.92902288353001
536,439.26739926739924,90.64464192101242
551,440.3663003663004,100.75637247721323
566,441.46520146520146,119.07117755258793
582,442.6373626373626,140.1177653607602
597,443.7362637362637,149.75087795174935
613,444.90842490842493,151.1768053921954
628,446.007326007326,161.5908813494458
643,447.1062271062271,158.6442432582374
659,448.27838827838826,156.6471608956255
674,449.3772893772894,144.23445739787417
689,450.4761904761905,114.8088165628375
705,451.64835164835165,110.56885855884873
720,452.74725274725273,83.91856496579342
736,453.9194139194139,81.78784399014656
751,455.01831501831504,83.28259288022092
766,456.1172161172161,82.6909086740391
782,457.2893772893773,81.80459243167464
797,458.3882783882784,84.04756108540614
812,459.4871794871795,84.3257760001459
828,460.65934065934067,86.02601951638393
843,461.75824175824175,84.05773943499011
859,462.9304029304029,80.01419966422988
874,464.02930402930406,84.2490118171712
889,465.12820512820514,82.58478900936953
905,466.3003663003663,100.06705577579696
920,467.3992673992674,110.67224571991207
935,468.4981684981685,129.7032999453688
951,469.6703296703297,150.41240330438808
966,470.7692307692308,156.6173515083473
982,471.94139194139194,146.93116224377957
997,473.040293040293,129.64481943786504
1012,474.13919413919416,114.75013642975608
1028,475.3113553113553,97.00904039076062
1043,476.4102564102564,94.16322266251817
1058,477.5091575091575,83.36240875705205
1074,478.68131868131866,84.73936717325057
1089,479.7802197802198,82.08131586379471
1105,480.95238095238096,81.75272574542073
1120,482.05128205128204,87.607384680836
1135,483.1501831501831,91.32065284030675
1151,484.3223443223443,95.38021537805191
1166,485.42124542124543,97.54410416122556
1181,486.5201465201465,96.32876165025057
1197,487.6923076923077,101.28846372995345
1212,488.79120879120876,114.5502458592491
1227,489.8901098901099,138.52902608074314
1243,491.06227106227107,192.1130964418905
1258,492.16117216117215,201.4089470606834
1274,493.33333333333337,178.43293723657325
1289,494.43223443223445,133.31519854725974
1304,495.53113553113553,98.96449890648776
1320,496.7032967032967,95.04409494874595
1335,497.80219780219784,118.16007198582197
1350,498.9010989010989,150.58901849252365
1366,500.0732600732601,198.72626687621806
1381,501.17216117216117,225.55805761212284
1397,502.34432234432234,227.8777843124137
1412,503.4432234432235,216.84768975707075
1427,504.54212454212455,189.93461236970867
1443,505.7142857142857,152.1165635641901
1458,506.8131868131868,127.96478778834002
1473,507.91208791208794,111.14549606020502
1489,509.0842490842491,102.85079533981002
1504,510.1831501831502,94.80031242693434
1520,511.35531135531136,89.43092438797797
1535,512.4542124542124,91.11973861022065
1550,513.5531135531136,87.72790267648425
1566,514.7252747252747,83.21846676167232
1581,515.8241758241759,82.52170302927482
1596,516.9230769230769,77.82162313071531
1612,518.0952380952381,79.37135881704953
1627,519.1941391941392,78.88288724817613
1643,520.3663003663004,76.42500901896257
1658,521.4652014652015,78.05974938739853
1673,522.5641025641025,76.12234821880388
1689,523.7362637362637,76.28439722578705
1704,524.8351648351648,78.21517455759516
1719,525.934065934066,76.73172402603353
1735,527.1062271062272,77.62674659312552
1750,528.2051282051282,76.84404069118052
1766,529.3772893772893,74.59046284272307
1781,530.4761904761905,77.27969514144242
1796,531.5750915750916,76.14461331971648
1812,532.7472527472528,76.00922421066875
1827,533.8461538461538,78.48068050872769
1842,534.945054945055,77.5998276662745
1858,536.1172161172161,80.86244169075144
1873,537.2161172161173,83.08070359644924
1889,538.3882783882784,80.2453875477182
1904,539.4871794871794,84.07578751262577
1919,540.5860805860806,81.22460253433172
1935,541.7582417582418,82.91532867456135
1950,542.8571428571429,85.12061002493077
1965,543.9560439560439,85.53638257272412
1981,545.1282051282051,87.21596993669152
1996,546.2271062271062,88.19833280006915
2012,547.3992673992674,85.76709055396503
2027,548.4981684981685,89.43039211087641
2042,549.5970695970695,88.02648682550063
2058,550.7692307692307,88.4110177355575
2073,551.8681318681319,90.70582325697478
2088,552.967032967033,89.22010839963008
2104,554.1391941391942,91.19107627886713
2119,555.2380952380952,92.59148240336677
2135,556.4102564102564,90.09464633959671
2150,557.5091575091575,94.99987991448708
2165,558.6080586080586,95.03036030328316
2181,559.7802197802198,96.91133298002245
2196,560.8791208791208,101.09896400871366
2211,561.978021978022,100.29299712364994
2227,563.1501831501831,102.17261495087922
2242,564.2490842490843,103.75278652796639
2258,565.4212454212454,99.90652201353276
2273,566.5201465201466,104.35345897522731
2288,567.6190476190476,102.64341143505169
2304,568.7912087912088,102.83353840152996
2319,569.8901098901099,110.22632476333477
2334,570.989010989011,114.8463789775445
2350,572.1611721611722,121.00475599629544
2365,573.2600732600732,125.6001543195262
2381,574.4322344322345,124.25596742783334
2396,575.5311355311355,131.70433921939912
2411,576.6300366300367,128.340550574742
2427,577.8021978021978,127.2383916091339
2442,578.901098901099,138.6496298841507
2457,580.0,148.22131135609627
2473,581.1721611721612,154.72439829408515
2488,582.2710622710623,146.73749990210925
2503,583.3699633699634,182.71081375641685
2519,584.5421245421246,249.4029872884947
2534,585.6410256410256,273.66489944445686
2550,586.8131868131868,271.5123836809682
2565,587.9120879120879,281.46739683876183
2580,589.0109890109891,276.4399571155943
2596,590.1831501831502,271.6194133457945
2611,591.2820512820513,273.2048099809848
2626,592.3809523809524,242.72792989807803
2642,593.5531135531136,225.11806852446065
2657,594.6520146520147,168.22492637083818
2673,595.8241758241759,149.13294648385912
2688,596.9230769230769,152.85180226346046
2703,598.021978021978,148.4826291609261
2719,599.1941391941392,148.10846563841218
2734,600.2930402930403,141.02972878435503
2749,601.3919413919414,130.93311976635587
2765,602.5641025641025,130.50713207891278
2780,603.6630036630037,132.337376458625
2796,604.8351648351648,124.33783899763633
2811,605.934065934066,123.29924407314908
2826,607.032967032967,111.72440378443845
2842,608.2051282051282,109.14001628394257
2857,609.3040293040293,108.78582726160414
2872,610.4029304029305,104.5327686490269
2888,611.5750915750916,105.966197651676
2903,612.6739926739926,106.21701448716335
2919,613.8461538461538,104.1930625387284
2934,614.945054945055,106.67673525013943
2949,616.0439560439561,104.04475458887072
2965,617.2161172161173,104.39398740714691
2980,618.3150183150183,105.1134532367318
2995,619.4139194139194,100.30273279741081
3011,620.5860805860806,101.57886873172887
3026,621.6849816849817,100.67172504067439
3042,622.8571428571429,96.33130284539021
3057,623.9560439560439,96.48375132030856
3072,625.054945054945,92.21993932859463
3088,626.2271062271062,89.8129235193109
3103,627.3260073260074,89.46571127111453
3118,628.4249084249084,85.16374985241659
3134,629.5970695970695,86.62729180170146
3149,630.6959706959707,86.08550657073356
3165,631.8681318681319,82.6434716784734
3180,632.967032967033,84.23929606702934
3195,634.065934065934,82.17282704349614
3211,635.2380952380952,80.36911053456177
3226,636.3369963369963,80.72913935033749
3241,637.4358974358975,76.98678872400201
3257,638.6080586080586,77.84274982796832
3272,639.7069597069597,78.62120926958298
3288,640.8791208791209,76.39448920675618
3303,641.978021978022,78.2405377110519
3318,643.0769230769231,75.922229819598
3334,644.2490842490843,72.75544592627327
3349,645.3479853479854,72.67562631200055
3364,646.4468864468864,69.82809993454646
3380,647.6190476190476,71.06843659248824
3395,648.7179487179487,70.61377465735649
3411,649.8901098901099,67.82122181119514
3426,650.989010989011,70.22005225536036
3441,652.0879120879121,69.24432475645935
3457,653.2600732600733,72.1992806126603
3472,654.3589743589744,79.50664757262378
3487,655.4578754578755,85.99756068191577
3503,656.6300366300366,95.21094320282306
3518,657.7289377289378,97.71181949115176
3534,658.901098901099,91.25937475317141
3549,660.0,88.83649422623624
3564,661.0989010989011,81.27480396052695
3580,662.2710622710623,81.18892853091126
3595,663.3699633699634,76.6380847667704
3610,664.4688644688645,90.43733917939653
3626,665.6410256410256,156.2478589976852
3641,666.7399267399268,214.7255132478615
3656,667.8388278388279,233.68068543133933
3672,669.0109890109891,247.19811846790307
3687,670.1098901098901,239.22026137456447
3703,671.2820512820513,197.6536895289269
3718,672.3809523809524,153.063214356701
3733,673.4798534798535,101.2192735090901
3749,674.6520146520147,86.63099925312008
3764,675.7509157509157,68.40094138322438
3779,676.8498168498169,60.41179672468169
3795,678.021978021978,58.33053749920546
3810,679.1208791208792,58.43535119287224
3826,680.2930402930403,57.463882281933486
3841,681.3919413919414,56.56988962201935
3856,682.4908424908425,56.1620944921706
3872,683.6630036630037,56.40949911001742
3887,684.7619047619048,58.62433375967877
3902,685.8608058608058,55.23852917953278
3918,687.032967032967,56.942196748170375
3933,688.1318681318681,55.86522576484007
3949,689.3040293040293,52.03898500270909
3964,690.4029304029305,48.20966177165144
3979,691.5018315018315,43.25860513867668
3995,692.6739926739926,41.03012398570709
4010,693.7728937728938,40.11238083842157
4025,694.8717948717949,39.245859194284556
4041,696.0439560439561,41.16521003617158
4056,697.1428571428571,40.97006800206252
4072,698.3150183150183,39.785949456329554
4087,699.4139194139194,40.3436543090246
