index,wavelength_nm,intensity
499,442.64957264957263,84.00885293357894
512,443.7606837606838,96.19781175472264
525,444.87179487179486,102.65505999766879
538,445.982905982906,106.50999766139289
551,447.0940170940171,101.30593600709663
565,448.29059829059827,99.01463640141522
578,449.4017094017094,88.38570499937651
802,468.54700854700855,77.88012545245407
815,469.65811965811963,97.95336474797237
828,470.7692307692308,103.1149048512364
841,471.8803418803419,95.67909979645356
854,472.991452991453,69.98129349328586
1052,489.9145299145299,89.7046038243278
1065,491.025641025641,138.3695439795113
1078,492.13675213675214,142.63505785023696
1092,493.3333333333333,126.71044686268466
1105,494.44444444444446,78.9585490819973
1158,498.974358974359,95.25899626713603
1171,500.0854700854701,147.63813870029372
1184,501.1965811965812,186.8387639745984
1197,502.3076923076923,195.5644821720352
1210,503.4188034188034,169.04590535334506
1223,504.52991452991455,134.44490478816715
1237,505.7264957264957,94.92797555771588
1250,506.8376068376068,73.59382288279652
2014,572.1367521367522,69.22417565646866
2027,573.2478632478633,70.99854962000667
2040,574.3589743589744,70.8148194524251
2054,575.5555555555555,73.90689129163825
2067,576.6666666666666,74.84636076856843
2080,577.7777777777778,76.79228264704574
2093,578.8888888888889,84.24943114918597
2106,580.0,94.17660179048029
2119,581.1111111111111,93.70764399642094
2133,582.3076923076924,89.33075295012492
2146,583.4188034188035,139.29279079961645
2159,584.5299145299145,218.24908867094894
2172,585.6410256410256,251.6641199719621
2185,586.7521367521367,244.98643578785837
2199,587.948717948718,244.04085331343438
2212,589.0598290598291,257.4660726450474
2225,590.1709401709402,253.01753156846556
2238,591.2820512820513,251.2225605224379
2251,592.3931623931624,214.76281411824553
2264,593.5042735042734,171.89217857831045
2278,594.7008547008547,110.68888680799611
2291,595.8119658119658,97.97620708182357
2304,596.9230769230769,99.21126374406478
2317,598.034188034188,96.83619111578628
2330,599.1452991452992,92.4086124963322
2344,600.3418803418804,79.45944316135943
2357,601.4529914529915,78.80270497614977
2370,602.5641025641025,76.99454743285585
2383,603.6752136752136,79.66943632185625
2396,604.7863247863248,73.3207648262137
3108,665.6410256410256,102.60961806272131
3121,666.7521367521367,171.53816270422942
3134,667.8632478632478,207.29148016225983
3147,668.974358974359,206.79416890130972
3160,670.0854700854701,187.6378002646261
3174,671.2820512820513,149.23548798092276
3187,672.3931623931624,98.55398186305358
3582,706.1538461538462,100.211906726677
3595,707.2649572649573,105.79806637648252
3609,708.4615384615385,86.44345027317331
